id,label,statement,subjects,speaker,job_title,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_fire_count,context,binary_label,prediction,confidence,statement_length,length_bucket,primary_subject
9550.json,barely-true,A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,"abortion,health-care,legal-issues,women",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,an interview at the Aspen Ideas Festival,FALSE,TRUE,0.7382931965318545,31,21-40,abortion
9578.json,false,When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,"children,foreign-policy,immigration,legal-issues",jeff-flake,U.S. Senator,Arizona,republican,0.0,1.0,0.0,0.0,0.0,"an interview on the PBS ""News Hour""",FALSE,TRUE,0.6850701650817091,24,21-40,children
2092.json,pants-fire,Sixty percent of the Hispanics support the Arizona immigration law,immigration,russell-pearce,unknown,Arizona,republican,0.0,0.0,0.0,0.0,1.0,a CNN interview,FALSE,TRUE,0.825682970408885,10,0-10,immigration
11083.json,true,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,candidates-biography,carlos-curbelo,Miami-Dade school board member,Florida,republican,0.0,1.0,0.0,1.0,0.0,a radio interview,TRUE,FALSE,0.6028673487581258,10,0-10,candidates-biography
11443.json,false,I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,"bankruptcy,debt",steven-costantino,House Finance Chairman ,Rhode Island,democrat,0.0,1.0,0.0,1.0,0.0,a statement,FALSE,TRUE,0.6794709647219521,30,21-40,bankruptcy
2966.json,false,The tax cut deal is giving $700 billion to millionaires and billionaires.,"deficit,economy,taxes",sherrod-brown,U.S. Senator,Ohio,democrat,3.0,4.0,5.0,8.0,1.0,a CNN interview,FALSE,TRUE,0.9042433274113756,12,11-20,deficit
267.json,true,"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",energy,bill-richardson,Governor,New Mexico,democrat,1.0,2.0,3.0,8.0,1.0,"a debate in Manchester, N.H.",TRUE,FALSE,0.5037902492201775,19,11-20,energy
8849.json,half-true,"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.","bipartisanship,congress,congressional-rules,job-accomplishments,voting-record",ian-prior,"Northeast regional spokesman, National Republican Congressional Committee",Rhode Island,republican,0.0,0.0,1.0,0.0,0.0,a Providence Journal commentary,TRUE,FALSE,0.6758524099163308,26,21-40,bipartisanship
8372.json,barely-true,"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.","state-finances,taxes",david-pennington,Mayor of Dalton,Georgia,none,1.0,0.0,0.0,0.0,0.0,a public meeting,FALSE,TRUE,0.801009833137637,28,21-40,state-finances
10218.json,half-true,Proximity to high-voltage power lines lowers property values by as much as 30 percent.,"energy,environment,housing,recreation",friends-india-point-park,unknown,Rhode Island,organization,0.0,0.0,1.0,0.0,0.0,a web site,TRUE,FALSE,0.6240627966695249,14,11-20,energy
12698.json,false,What the facts say is ...the best scenario for kids is a loving mom and dad.,"children,diversity",reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2.0,12.0,8.0,3.0,1.0,"comments on ""Meet the Press""",FALSE,TRUE,0.5114282490262423,16,11-20,children
2854.json,pants-fire,Rebuilding three high schools will benefit 40 percent of Portland Public School students.,education,carole-smith,Portland schools superintendent,Oregon,none,0.0,0.0,0.0,0.0,1.0,a press briefing,FALSE,TRUE,0.6933254236124619,13,11-20,education
4719.json,half-true,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.,"elections,water",H204TEXAS-PAC,unknown,unknown,none,0.0,0.0,1.0,0.0,0.0,an email blast.,TRUE,FALSE,0.5253351268925348,13,11-20,elections
2885.json,false,On banning earmarks.,federal-budget,bill-nelson,unknown,Florida,democrat,3.0,1.0,8.0,10.0,0.0,Senate floor votes,FALSE,TRUE,0.8931339147479246,3,0-10,federal-budget
4820.json,half-true,1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,occupy-wall-street,facebook-posts,Social media posting,unknown,none,14.0,18.0,15.0,11.0,36.0,Facebook,TRUE,FALSE,0.6157840816010279,19,11-20,occupy-wall-street
12309.json,barely-true,The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program.,"energy,foreign-policy,nuclear",paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,a news release,FALSE,TRUE,0.6488460897045513,18,11-20,energy
2491.json,true,"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.","message-machine,taxes",dave-yost,Ohio auditor,ohio,republican,1.0,0.0,0.0,1.0,0.0,a campaign video,TRUE,FALSE,0.5011496653857928,16,11-20,message-machine
9762.json,true,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.","city-budget,crime,job-accomplishments",bob-donovan,Member of Milwaukee Common Council,Wisconsin,none,0.0,0.0,0.0,1.0,1.0,an interview,TRUE,FALSE,0.519697660196838,13,11-20,city-budget
5935.json,barely-true,Taxpayers subsidize 80 percent of each MARTA trip,transportation,brett-bittner,"Executive Director, Libertarian Party of Geo",unknown,libertarian,1.0,0.0,0.0,0.0,0.0,an interview,FALSE,TRUE,0.6904250754724575,8,0-10,transportation
2821.json,pants-fire,"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",stimulus,george-allen,consultant,Virginia,republican,2.0,8.0,3.0,4.0,1.0,unknown,FALSE,TRUE,0.5213606344230456,15,11-20,stimulus
3706.json,pants-fire,Says people in Africa literally walk two and three hundred miles in order to vote.,elections,mike-bennett,State Senator,Florida,republican,0.0,0.0,0.0,0.0,1.0,comments made on the Senate floor.,FALSE,TRUE,0.5508793545382916,15,11-20,elections
2796.json,false,Half of children struck by cars near schools are hit by parents driving children to school.,transportation,safe-routes-schools,safety program,Oregon,none,0.0,1.0,0.0,0.0,0.0,a mailer,FALSE,TRUE,0.5058259077963094,16,11-20,transportation
6083.json,barely-true,"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.","state-budget,weather",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,comments to the press,FALSE,TRUE,0.6261514647710733,18,11-20,state-budget
2162.json,barely-true,"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",crime,kasim-reed,unknown,unknown,democrat,1.0,0.0,5.0,7.0,1.0,a press release,FALSE,TRUE,0.948363191958848,23,21-40,crime
8929.json,true,"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.","climate-change,environment",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1.0,2.0,2.0,3.0,0.0,a speech,TRUE,FALSE,0.5095271233039841,24,21-40,climate-change
12398.json,pants-fire,"Says Donald Trump said of women, And you can tell them to go f--- themselves.",women,priorities-usa-action,unknown,unknown,democrat,3.0,1.0,4.0,2.0,1.0,a television ad,FALSE,TRUE,0.6186033907547008,15,11-20,women
2690.json,pants-fire,"The Taliban has been there for years and years, I mean, hundreds of thousands of years.","afghanistan,terrorism",kendrick-meek,unknown,Florida,democrat,2.0,6.0,1.0,4.0,1.0,a debate,FALSE,TRUE,0.5603379839114123,16,11-20,afghanistan
8667.json,true,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,"education,foreign-policy",bob-schieffer,Host of CBS' Face the Nation,"Washington, D.C.",journalist,0.0,1.0,0.0,0.0,0.0,comments at a forum at the Center for Strategic and International Studies,TRUE,FALSE,0.5809787210642441,19,11-20,education
8941.json,true,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",history,wolf-blitzer,CNN host,unknown,none,0.0,0.0,0.0,0.0,0.0,comments on CNN,TRUE,FALSE,0.5684780449948235,24,21-40,history
6821.json,pants-fire,"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.","debt,deficit",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,an interview on NBC’s “Meet The Press”,FALSE,TRUE,0.7159479078542217,23,21-40,debt
11400.json,mostly-true,"Says U.S. Sen. Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.","environment,government-regulation",league-conservation-voters,unknown,unknown,organization,0.0,0.0,0.0,1.0,0.0,a television ad,TRUE,FALSE,0.5772679542286776,23,21-40,environment
3228.json,true,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,"health-care,pundits",cenk-uygur,unknown,unknown,democrat,0.0,0.0,0.0,0.0,0.0,MSNBC Live,TRUE,FALSE,0.5132143493098511,13,11-20,health-care
1915.json,false,U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,"bipartisanship,candidates-biography",donna-campbell,Physician,Texas,republican,0.0,1.0,0.0,1.0,0.0,a speech,FALSE,TRUE,0.7958048208749318,14,11-20,bipartisanship
12456.json,barely-true,"Its entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact, its quite likely.",income,pat-toomey,Candidate for U.S. Senate,Pennsylvania,republican,3.0,2.0,2.0,1.0,0.0,an interview with Chris Stigall on Talk Radio 1210 WPHT,FALSE,TRUE,0.5897281129459719,38,21-40,income
4698.json,false,"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.","income,jobs,message-machine-2012,taxes",americans-prosperity-new-jersey,unknown,unknown,none,0.0,1.0,0.0,0.0,0.0,a television ad posted on YouTube,FALSE,TRUE,0.516405805536491,17,11-20,income
10147.json,false,On an income cap for recipients of the popular HOPE scholarship,education,jason-carter,State Senator,Georgia,democrat,1.0,0.0,2.0,1.0,0.0,forum,FALSE,TRUE,0.592164507460044,11,11-20,education
2277.json,half-true,On running a civil and polite campaign.,"message-machine,campaign-advertising",roy-barnes,Attorney,Georgia,democrat,0.0,0.0,3.0,3.0,1.0,a television interview,TRUE,FALSE,0.5232995530044566,7,0-10,message-machine
8146.json,mostly-true,"Says President Barack Obama has taken 92 days of vacation since he was sworn in, compared to 367 for President George W. Bush at the same point in his presidency.","bush-administration,pundits,recreation",al-sharpton,unknown,New York,democrat,2.0,1.0,1.0,1.0,0.0,"a segment of his MSNBC show, ""Politics Nation""",TRUE,FALSE,0.8218868676721325,30,21-40,bush-administration
6026.json,half-true,"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.","economy,job-accomplishments,jobs",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a debate,TRUE,FALSE,0.5633880502997675,16,11-20,economy
13056.json,true,Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,taxes,national-republican-congressional-committee,unknown,unknown,republican,18.0,9.0,8.0,5.0,8.0,a blog post on the NRCC website,TRUE,FALSE,0.5588989785567955,14,11-20,taxes
9269.json,false,Many of the founding fathers were very actively involved in cockfighting.,"animals,history",matt-bevin,Investment manager,Kentucky,republican,0.0,1.0,0.0,1.0,1.0,a radio interview,FALSE,TRUE,0.6230877621407831,11,11-20,animals
8533.json,barely-true,The majority of people travelling to these destination resorts are not going for the primary purpose of gambling.,gambling,frank-fahrenkopf,Retired president and CEO of the American Gaming Association,unknown,republican,1.0,0.0,0.0,0.0,0.0,"an opinion piece in the ""Miami Herald""",FALSE,TRUE,0.7146517372834005,18,11-20,gambling
6950.json,mostly-true,Says Bill Nelson voted 98 percent of the time with Barack Obama.,voting-record,connie-mack,U.S. representative from Fort Myers,Florida,republican,3.0,3.0,1.0,3.0,1.0,a U.S. Senate debate,TRUE,FALSE,0.5421872512722787,12,11-20,voting-record
12424.json,false,I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,"afghanistan,bush-administration,candidates-biography,ethics,foreign-policy,homeland-security,human-rights,iraq,public-safety,terrorism",todd-wilcox,unknown,Florida,republican,0.0,1.0,1.0,0.0,0.0,a newspaper interview,FALSE,TRUE,0.534572283061123,20,11-20,afghanistan
4309.json,false,Virginia has made no progress on jobs since Bob McDonnell took office.,"jobs,message-machine-2012",democratic-party-virginia,unknown,Virginia,democrat,2.0,1.0,1.0,3.0,0.0,a web video,FALSE,TRUE,0.792680957189321,12,11-20,jobs
110.json,false,The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.,iraq,fred-thompson,Actor,Tennessee,republican,1.0,4.0,3.0,3.0,0.0,"a debate in Dearborn, Mich.",FALSE,TRUE,0.7323158576533267,15,11-20,iraq
8606.json,half-true,Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,health-care,ron-johnson,unknown,Wisconsin,republican,14.0,6.0,10.0,10.0,1.0,the weekly Republican address,TRUE,FALSE,0.7382514773842059,16,11-20,health-care
10948.json,false,Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,candidates-biography,occupy-democrats,unknown,unknown,organization,0.0,4.0,3.0,1.0,4.0,a post on Facebook,FALSE,TRUE,0.5230277569152753,15,11-20,candidates-biography
12210.json,false,Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned.,"city-government,gays-and-lesbians,government-regulation,public-safety",dan-forest,Lieutenant Governor,North Carolina,republican,0.0,1.0,0.0,0.0,0.0,a tweet,FALSE,TRUE,0.7094762198787893,19,11-20,city-government
7272.json,barely-true,Social Security has nothing to do with the federal deficit.,"federal-budget,social-security",hank-johnson,U.S. Congressman,Georgia,democrat,3.0,0.0,4.0,3.0,0.0,a twitter post,FALSE,TRUE,0.842338629958532,10,0-10,federal-budget
4016.json,false,On pay for fired Milwaukee police officers,state-budget,alberta-darling,"State Senator, 8th District",Wisconsin,republican,1.0,1.0,2.0,1.0,1.0,an interview,FALSE,TRUE,0.6288166727585907,7,0-10,state-budget
4243.json,mostly-true,The United States has the longest surviving constitution.,"foreign-policy,history,new-hampshire-2012",jon-huntsman,unknown,Utah,republican,5.0,1.0,5.0,4.0,1.0,"a campaign appearance in Milford, N.H. ",TRUE,FALSE,0.6163571817009743,8,0-10,foreign-policy
11324.json,mostly-true,The University of Wisconsin System is larger than any business in the state of Wisconsin.,state-budget,dale-kooyenga,State Representative,Wisconsin,republican,1.0,1.0,2.0,2.0,0.0,a radio interview,TRUE,FALSE,0.703968231848986,15,11-20,state-budget
8434.json,barely-true,"Mark Herring voted to allow sex offenders, including rapists, to serve shorter sentences.",criminal-justice,mark-obenshain,State senator,Virginia,republican,1.0,0.0,1.0,2.0,0.0,a campaign brochure.,FALSE,TRUE,0.5394030534621045,13,11-20,criminal-justice
3637.json,mostly-true,Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.,"energy,foreign-policy",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,an interview with Sean Hannity of Fox News,TRUE,FALSE,0.7127265885187184,11,11-20,energy
7744.json,mostly-true,Says states mandated tests come from an English company.,education,george-lavender,State representative,Texas,republican,0.0,0.0,0.0,1.0,0.0,in Texas House of Representatives debate,TRUE,FALSE,0.6249267651462205,9,0-10,education
6060.json,barely-true,"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",taxes,jeanne-shaheen,Senator,New Hampshire,democrat,3.0,0.0,4.0,2.0,0.0,an interview with the editorial board of 'The Telegraph.',FALSE,TRUE,0.7850790104528057,27,21-40,taxes
603.json,false,On the Bush tax cuts.,taxes,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,flip-o-meter,FALSE,TRUE,0.7122783191934918,5,0-10,taxes
5461.json,true,Sixteen million jobs were created under Ronald Reagans presidency.,jobs,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,a speech,TRUE,FALSE,0.5146522698748317,9,0-10,jobs
6684.json,pants-fire,This would be the largest casino in the United States.,gambling,its-still-bad-idea,unknown,Oregon,organization,0.0,0.0,0.0,1.0,1.0,a campaign press event,FALSE,TRUE,0.8756001427750525,10,0-10,gambling
769.json,true,Barack Obama ... 96 percent of his votes have been solely along party line.,candidates-biography,sarah-palin,unknown,Alaska,republican,9.0,19.0,9.0,6.0,6.0,St. Louis,TRUE,FALSE,0.5147666126744737,14,11-20,candidates-biography
6425.json,half-true,President Obama and Nancy Pelosi said Obamacare would save money because they factored in 10 years worth of tax revenue and only six and half years worth of expenses.,health-care,eric-hovde,unknown,unknown,republican,2.0,3.0,3.0,0.0,0.0,a television interview,TRUE,FALSE,0.5414615413819733,29,21-40,health-care
11711.json,true,Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating.,polls,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"an interview on NBC's ""Meet the Press""",TRUE,FALSE,0.7320224818939443,14,11-20,polls
6884.json,half-true,"Bill Nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.","agriculture,taxes",american-crossroads,unknown,unknown,republican,5.0,5.0,4.0,0.0,0.0,a TV commercial,TRUE,FALSE,0.6440431793920061,25,21-40,agriculture
10250.json,false,"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",elections,david-hallock,Aide,Virginia,democrat,0.0,1.0,0.0,0.0,0.0,a forum,FALSE,TRUE,0.6821261468486443,22,21-40,elections
5472.json,false,Mitt Romney left Massachusetts $1 billion in debt.,"deficit,job-accomplishments,message-machine-2012,state-budget,state-finances",red-white-and-blue-fund,unknown,unknown,none,0.0,1.0,0.0,0.0,0.0,a campaign ad,FALSE,TRUE,0.6948621852103687,8,0-10,deficit
5505.json,true,Says Barack Obama promised he would cut the deficit in half but didnt.,federal-budget,lenny-curry,chairman of the Republican Party of Florida,Florida,republican,2.0,1.0,2.0,0.0,0.0,"an interview on ""Political Connections""",TRUE,FALSE,0.6509876922757485,13,11-20,federal-budget
12961.json,false,The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.,candidates-biography,reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2.0,12.0,8.0,3.0,1.0,"comments on ""The Mike Gallagher Show""",FALSE,TRUE,0.5187073834810282,27,21-40,candidates-biography
6110.json,half-true,Barack Obama has provided guns to Mexican drug cartels.,"drugs,guns,legal-issues",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a speech to the Republican Party of Texas convention in Fort Worth.,TRUE,FALSE,0.6622704723695312,9,0-10,drugs
13400.json,barely-true,"Says Chris Koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12,000 in campaign contributions from people affiliated with the service.","campaign-finance,legal-issues,women",eric-greitens,gubernatorial candidate,Missouri,republican,1.0,1.0,2.0,1.0,0.0,a press release,FALSE,TRUE,0.6554000490623972,33,21-40,campaign-finance
6431.json,false,"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",welfare,jay-carney,White House press secretary,District of Columbia,none,2.0,2.0,1.0,2.0,0.0,a press White House press briefing,FALSE,TRUE,0.5480361253360553,30,21-40,welfare
2615.json,false,"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.","economy,government-efficiency,jobs",rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,a debate,FALSE,TRUE,0.7718926662926583,20,11-20,economy
2652.json,pants-fire,Says Rick Perry recently said he wanted another (Texas) business tax.,"state-budget,taxes",kathie-glass,lawyer,Texas,libertarian,0.0,0.0,0.0,0.0,2.0,a debate.,FALSE,TRUE,0.5029708299270805,11,11-20,state-budget
184.json,false,"Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",immigration,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,Las Vegas,FALSE,TRUE,0.8447537147767892,26,21-40,immigration
7692.json,mostly-true,"Says 315,000 mostly minority Texas students are enrolled in failing schools.",education,dan-patrick,Lieutenant governor-elect,Texas,republican,4.0,4.0,3.0,4.0,4.0,"a state Senate committee hearing April 9, 2013",TRUE,FALSE,0.6184818395231642,11,11-20,education
3215.json,pants-fire,Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,"environment,jobs",scott-suder,state Assembly majority leader,Wisconsin,republican,0.0,0.0,0.0,0.0,1.0,a news release,FALSE,TRUE,0.5349999898140693,26,21-40,environment
5732.json,barely-true,What president has the worst record on female labor force participation? Barack Obama.,"history,labor,women,workers",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a graphic posted on his website,FALSE,TRUE,0.7311405296426633,13,11-20,history
12331.json,barely-true,"Seven hundred thousand. Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs, not losing them.","jobs,labor,states",enterprise-florida,The public-private economic development agency ,Florida,organization,1.0,0.0,0.0,0.0,0.0,Enterprise Florida radio ads in California,FALSE,TRUE,0.6866555193609152,28,21-40,jobs
2392.json,barely-true,"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.","federal-budget,pundits,taxes,abc-news-week",george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"a roundtable discussion on ABC's ""This Week with Christiane Amanpour''",FALSE,TRUE,0.6037538363388729,24,21-40,federal-budget
8676.json,barely-true,Gov. Rick Scott backed the federal shutdown.,federal-budget,florida-democratic-party,unknown,Florida,democrat,5.0,4.0,4.0,5.0,3.0,an online video,FALSE,TRUE,0.6475623598417948,7,0-10,federal-budget
12167.json,barely-true,Says his free public university tuition program is paid for by a tax on Wall Streets speculation.,education,bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,a CNN interview,FALSE,TRUE,0.8192361598077876,17,11-20,education
4769.json,half-true,"Under a Wisconsin bill, minor offenses such as violating pet leash laws, seat belt laws, parking infractions, etc., would now be arrestable offenses.","civil-rights,guns,legal-issues",john-birch-society,unknown,unknown,organization,0.0,0.0,1.0,0.0,0.0,an article on the group's website,TRUE,FALSE,0.7001822043619534,23,21-40,civil-rights
12943.json,half-true,Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay.,immigration,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a TV ad,TRUE,FALSE,0.762764265281497,13,11-20,immigration
